event time,asset,transaction time,ask,ask size,bid,bid size
1747689765554,XRPUSDT,1747689765567,2.3789,5552.0,2.3754,6699.5
1747689765575,SOLUSDT,1747689765597,165.7100,62.82,165.4200,857.06
1747689765595,ETHUSDC,1747689765598,2517.96,0.000,2508.28,0.011
1747689765618,1000PEPEUSDT,1747689765623,0.0132439,19630,0.0131752,461679
1747689765626,ETHUSDT,1747689765626,2517.17,0.000,200.00,26.897
1747689765621,BTCUSDT,1747689765627,105275.90,5.028,1000.00,64.028
1747689765630,DOGEUSDT,1747689765638,0.224060,3388,0.206130,437
1747689765624,BTCUSDC,1747689765646,105308.9,0.000,101575.3,0.877
1747689765647,MOODENGUSDT,1747689765652,0.2465900,0,0.2393100,248
1747689765637,XRPUSDT,1747689765668,2.3789,5555.7,2.3784,3406.6
1747689765697,ETHUSDC,1747689765700,2518.18,32.378,2458.94,48.314
1747689765698,SOLUSDT,1747689765700,165.7100,143.50,160.6500,239.25
1747689765707,1000PEPEUSDT,1747689765726,0.0132439,22439,0.0131968,1737642
1747689765721,ETHUSDT,1747689765727,2517.29,58.565,200.00,26.897
1747689765730,BTCUSDT,1747689765730,105284.60,0.206,5000.00,0.736
1747689765706,DOGEUSDT,1747689765742,0.224090,26846,0.222640,720339
1747689765751,MOODENGUSDT,1747689765753,0.2466200,3067,0.2334900,0
1747689765765,BTCUSDC,1747689765766,105301.3,0.004,105200.7,7.483
1747689765767,XRPUSDT,1747689765772,2.3789,5560.1,1.9031,412.5
1747689765804,SOLUSDT,1747689765806,165.7300,411.01,165.6400,1068.04
1747689765803,ETHUSDC,1747689765811,2518.72,2.960,2516.43,0.093
1747689765812,1000PEPEUSDT,1747689765828,0.0132671,162494,0.0132088,237015
1747689765821,ETHUSDT,1747689765828,2517.29,58.580,2466.20,0.810
1747689765826,BTCUSDT,1747689765831,105278.40,0.003,1000.00,64.028
1747689765839,DOGEUSDT,1747689765844,0.224060,3411,0.195450,84623
1747689765855,MOODENGUSDT,1747689765856,0.2465700,974,0.2243900,30687
1747689765864,BTCUSDC,1747689765869,105311.9,0.410,104316.5,0.000
1747689765875,XRPUSDT,1747689765879,2.3789,5647.0,2.3205,27384.3
1747689765913,SOLUSDT,1747689765914,166.1300,2174.15,132.5700,1.16
