sequence number,asset,time (from exchange),ask,ask size,bid,bid size
300173894171307525,BTC-USD-SWAP-LIN,1747601344073,104177.0,0.1369,104152.0,0.0039
117173512259796483,BRETT-USD-SWAP-LIN,1747601344056,0.06969,344868.0,0.06934,181230.0
600174565172998199,SOL-USD-SWAP-LIN,1747601344062,167.18,3667.61,167.0,9.96
630173512272985460,WIF-USD-SWAP-LIN,1747601344111,0.9725,27131.0,0.9685,6320.0
595173512109104453,MOODENG-USD-SWAP-LIN,1747601344103,0.233301,73030.0,0.231867,40110.0
624173512091928268,GOAT-USD-SWAP-LIN,1747601344135,0.16066,107391.0,0.15993,91363.0
109174719826717428,LAUNCHCOIN-USD-SWAP-LIN,1747601344153,0.22301,57663.0,0.2095,27270.0
638173512079465318,FARTCOIN-USD-SWAP-LIN,1747601344087,1.26398,13685.0,1.26298,1.0
413173512242567277,1000ANDY-USD-SWAP-LIN,1747601344127,0.0769,180703.0,0.07633,201852.0
400173591426240032,ETH-USD-SWAP-LIN,1747601344149,2401.7,291.105,2399.3,319.608
300173894171307526,BTC-USD-SWAP-LIN,1747601344174,104177.0,0.1369,104152.0,0.0039
600174565172998200,SOL-USD-SWAP-LIN,1747601344162,167.18,3667.61,167.0,9.96
117173512259796484,BRETT-USD-SWAP-LIN,1747601344156,0.06969,344868.0,0.06934,181230.0
400173591426240033,ETH-USD-SWAP-LIN,1747601344249,2401.7,291.105,2399.3,319.608
624173512091928269,GOAT-USD-SWAP-LIN,1747601344235,0.16066,107391.0,0.15993,91363.0
638173512079465319,FARTCOIN-USD-SWAP-LIN,1747601344187,1.26398,13685.0,1.26298,1.0
413173512242567278,1000ANDY-USD-SWAP-LIN,1747601344227,0.0769,180703.0,0.07633,201852.0
109174719826717429,LAUNCHCOIN-USD-SWAP-LIN,1747601344253,0.22301,57663.0,0.2095,27270.0
630173512272985461,WIF-USD-SWAP-LIN,1747601344212,0.9725,27131.0,0.9685,6320.0
595173512109104454,MOODENG-USD-SWAP-LIN,1747601344204,0.233301,73030.0,0.231867,40110.0
300173894171307527,BTC-USD-SWAP-LIN,1747601344274,104177.0,0.1369,104152.0,0.0039
117173512259796485,BRETT-USD-SWAP-LIN,1747601344256,0.06969,344868.0,0.06934,181230.0
600174565172998201,SOL-USD-SWAP-LIN,1747601344263,167.18,3667.61,167.0,9.96
595173512109104455,MOODENG-USD-SWAP-LIN,1747601344304,0.233301,73030.0,0.231867,40110.0
638173512079465320,FARTCOIN-USD-SWAP-LIN,1747601344287,1.26398,13685.0,1.26298,1.0
109174719826717430,LAUNCHCOIN-USD-SWAP-LIN,1747601344353,0.22301,57663.0,0.2095,27270.0
630173512272985462,WIF-USD-SWAP-LIN,1747601344312,0.9725,27131.0,0.9685,6320.0
413173512242567279,1000ANDY-USD-SWAP-LIN,1747601344327,0.0769,180703.0,0.07633,201852.0
400173591426240034,ETH-USD-SWAP-LIN,1747601344349,2401.7,291.105,2399.3,319.608
624173512091928270,GOAT-USD-SWAP-LIN,1747601344335,0.16066,107391.0,0.15993,91363.0
300173894171307528,BTC-USD-SWAP-LIN,1747601344375,104177.0,0.1369,104152.0,0.0039
600174565172998202,SOL-USD-SWAP-LIN,1747601344364,167.18,3667.61,167.0,9.96
117173512259796486,BRETT-USD-SWAP-LIN,1747601344357,0.06969,344868.0,0.06934,181230.0
624173512091928271,GOAT-USD-SWAP-LIN,1747601344436,0.16066,107391.0,0.15993,91363.0
109174719826717431,LAUNCHCOIN-USD-SWAP-LIN,1747601344454,0.22301,57663.0,0.2095,27270.0
413173512242567280,1000ANDY-USD-SWAP-LIN,1747601344428,0.0769,180703.0,0.07633,201852.0
400173591426240035,ETH-USD-SWAP-LIN,1747601344450,2401.7,291.105,2399.3,319.608
630173512272985463,WIF-USD-SWAP-LIN,1747601344412,0.9725,27131.0,0.9685,6320.0
595173512109104456,MOODENG-USD-SWAP-LIN,1747601344404,0.233301,73030.0,0.231867,40110.0
638173512079465321,FARTCOIN-USD-SWAP-LIN,1747601344388,1.26398,13685.0,1.26298,1.0
300173894171307529,BTC-USD-SWAP-LIN,1747601344475,104177.0,0.1369,104152.0,0.0039
117173512259796487,BRETT-USD-SWAP-LIN,1747601344457,0.06969,344868.0,0.06934,181230.0
600174565172998203,SOL-USD-SWAP-LIN,1747601344464,167.18,3667.61,167.0,9.96
413173512242567281,1000ANDY-USD-SWAP-LIN,1747601344528,0.0769,180703.0,0.07633,201852.0
630173512272985464,WIF-USD-SWAP-LIN,1747601344513,0.9725,27131.0,0.9685,6320.0
400173591426240036,ETH-USD-SWAP-LIN,1747601344550,2401.7,291.105,2399.3,319.608
624173512091928272,GOAT-USD-SWAP-LIN,1747601344536,0.16066,107391.0,0.15993,91363.0
109174719826717432,LAUNCHCOIN-USD-SWAP-LIN,1747601344554,0.22301,57663.0,0.2095,27270.0
638173512079465322,FARTCOIN-USD-SWAP-LIN,1747601344488,1.26398,13685.0,1.26298,1.0
595173512109104457,MOODENG-USD-SWAP-LIN,1747601344505,0.233301,73030.0,0.231867,40110.0
300173894171307530,BTC-USD-SWAP-LIN,1747601344576,104177.0,0.1369,104152.0,0.0039
117173512259796488,BRETT-USD-SWAP-LIN,1747601344557,0.06969,344868.0,0.06934,181230.0
600174565172998204,SOL-USD-SWAP-LIN,1747601344565,167.18,3667.61,167.0,9.96
413173512242567282,1000ANDY-USD-SWAP-LIN,1747601344628,0.0769,180703.0,0.07633,201852.0
630173512272985465,WIF-USD-SWAP-LIN,1747601344613,0.9725,27131.0,0.9685,6320.0
109174719826717433,LAUNCHCOIN-USD-SWAP-LIN,1747601344654,0.22301,57663.0,0.2095,27270.0
595173512109104458,MOODENG-USD-SWAP-LIN,1747601344605,0.233301,73030.0,0.231867,40110.0
638173512079465323,FARTCOIN-USD-SWAP-LIN,1747601344589,1.26398,13685.0,1.26298,1.0
400173591426240037,ETH-USD-SWAP-LIN,1747601344651,2401.7,291.105,2399.3,319.608
