sequence number,asset,time (from exchange),ask,ask size,bid,bid size
37434718232,XRPUSDT,1747601476914304085,2.3698,11720.64,2.3697,1834.98
48452505294,BNBUSDT,1747601476858416385,639.96,1.85,639.87,10.95
37434718273,ETHUSDT,1747601476957302245,2392.9,2.09,2392.89,5.35
37434718275,SOLUSDT,1747601476959601285,167.01,4.75,166.98,29.13
37434718287,DOGEUSDT,1747601476974380329,0.22305,1563,0.22303,8705
37434718214,ADAUSDT,1747601476894512724,0.7333,2356.86,0.7332,6892.49
35027132910,OPUSDT,1747601476926751315,0.6896,390.9,0.6894,195
47259896003,SUIUSDT,1747601476567501247,3.7919,6440,3.7901,47
47259896143,u1000PEPEUSDT,1747601476892898994,0.0130496,19450,0.0130365,38843
37434718220,BTCUSDT,1747601476896514257,104062.9,0.402,104062.8,3.385
37434718259,XRPUSDT,1747601476942571132,2.3698,11195.64,,
48452505342,BNBUSDT,1747601476968355850,640.07,0,,
37434718278,SOLUSDT,1747601476960160765,,,166.98,91.65
37434718286,ETHUSDT,1747601476972770859,,,2392.63,0
37434718323,ADAUSDT,1747601477048070373,0.7344,1913.03,,
47259896197,u1000PEPEUSDT,1747601477189021282,0.0130727,0,0.0130365,58843
37434718322,DOGEUSDT,1747601477043176759,,,0.22302,0
35027132912,OPUSDT,1747601476962425568,,,0.6894,390.9
47259896307,SUIUSDT,1747601477373974521,3.7918,73,,
37434718311,BTCUSDT,1747601477018300462,104076.7,0,,
37434718280,XRPUSDT,1747601476964826799,2.3698,11720.64,,
48452505344,BNBUSDT,1747601476981001789,640.14,1.47,,
37434718298,SOLUSDT,1747601477000124717,,,166.82,41.62
37434718299,ETHUSDT,1747601477000177940,,,2392.5,2.78
47259896198,u1000PEPEUSDT,1747601477195558391,,,0.013031,18993
47259896346,SUIUSDT,1747601477401922030,3.7917,26,,
37434718324,ADAUSDT,1747601477049773861,0.7346,102172.21,,
37434718338,DOGEUSDT,1747601477156060506,0.22311,30412,,
35027132962,OPUSDT,1747601477447841960,0.6895,144.2,,
37434718321,BTCUSDT,1747601477036701734,104097.2,0.232,,
37434718309,XRPUSDT,1747601477015558732,,,2.3697,1309.98
48452505583,BNBUSDT,1747601477795842912,,,639.95,0.84
37434718306,SOLUSDT,1747601477003960762,167.24,511.77,166.84,5.68
37434718307,ETHUSDT,1747601477009951839,,,2392.5,5.21
47259896350,SUIUSDT,1747601477416326963,3.7918,0,,
35027132970,OPUSDT,1747601477477012826,0.6895,339.2,,
47259896199,u1000PEPEUSDT,1747601477197970629,,,0.0130371,19250
37434718443,ADAUSDT,1747601477505168902,0.7333,2356.86,,
37434718360,DOGEUSDT,1747601477199613391,,,0.22295,1563
37434718339,BTCUSDT,1747601477157734342,104062.9,0.502,,
48452505595,BNBUSDT,1747601477816909225,,,639.95,10.27
37434718318,XRPUSDT,1747601477035669603,2.3704,5400.06,,
35027132972,OPUSDT,1747601477506742558,0.6896,1624.7,,
37434718502,DOGEUSDT,1747601477868016828,,,0.2229,1589
37434718453,ADAUSDT,1747601477527913894,0.7334,1216.98,,
47259896355,SUIUSDT,1747601477460197909,3.7926,3511,,
47259896225,u1000PEPEUSDT,1747601477270771758,0.0130496,0,0.0130371,39250
37434718319,ETHUSDT,1747601477035839699,,,2392.51,15.1
37434718326,SOLUSDT,1747601477067985220,167.21,17.27,,
37434718412,BTCUSDT,1747601477405805744,,,104051,0
